173
3001  1-H-H2O 	M Hydrogen-bound-in-water
3115  In115(n,g)  D In-115(n,gamma)In-116m
1151  Eu151(n,g)  D Eu-151(n,g)Eu-152
1164  Dy164(n,g)  D Dy-164(n,g)Dy-165
176   Lu176(n,g)  D Lu-176(n,g)Lu-177
197   Au197(n,g)  D Au-197(n,g)Au-198
1232  Th232(n,g)  D Th-232(n,g)Th-233
3232  Th232(n,g)  D Th-232(n,f)
1235  U235(n,g)   D U-235(n,g)U-236
1003  U235(n,f)   D U-235(n,f)
1238  U238(n,g)   D U-238(n,g)U-239
3238  U238(n,f)   D U-238(n,f)
1237  Np237(n,f)  D Np-237(n,f)
1239  Pu239(n,f)  D Pu-239(n,f)
1632  Th232(n,2n) D Th-232(n,2n)
1633  U233(n,2n)    D U-233(n,2n)
1635  U235(n,2n)    D U-235(n,2n)
1638  U238(n,2n)    D U-238(n,2n)
1639  Pu239(n,2n)   D Pu-239(n,2n)
1640  Pu240(n,2n)   D Pu-240(n,2n)
1641  Pu241(n,2n)   D Pu-241(n,2n)
1642  Pu242(n,2n)   D Pu-242(n,2n)
